"Plot14"
"Time (sec)","Linear Displacement1 (mm)","Linear Displacement2 (mm)","Linear Displacement3 (mm)"
1.29,25.000000000001,-625.639079372266,-6451.80746998399
1.3,25.000000000001,-755.945683930409,-6484.079232575
1.31,25.000000000001,-884.319558753497,-6512.08077629776
1.32,25.000000000001,-1009.44445085543,-6534.39120056562
1.33,25.000000000001,-1129.54781130994,-6549.02324375174
1.34,25.000000000001,-1242.42903342542,-6553.44083862469
1.35,25.000000000001,-1345.90262687128,-6545.09303767727
1.36,25.000000000001,-1438.7680103981,-6522.6242851374
1.37,25.000000000001,-1521.54849856569,-6486.8377864867
1.38,25.000000000001,-1596.07489252677,-6440.21870456214
1.39,25.000000000001,-1664.45248935356,-6385.63557828383
1.4,25.000000000001,-1728.42524620412,-6325.50714362113
1.41,25.000000000001,-1789.2541180741,-6261.62216746384
1.42,25.000000000001,-1847.8084852679,-6195.24436466171
1.43,25.000000000001,-1904.68411789635,-6127.26112429403
1.44,25.000000000001,-1960.29428698285,-6058.30230763292
1.45,25.000000000001,-2014.93130173706,-5988.82247904588
1.46,25.000000000001,-2068.80646424568,-5919.15549291812
1.47,25.000000000001,-2122.07589412216,-5849.55057377136
1.48,25.000000000001,-2174.85737448178,-5780.19644027637
1.49,25.000000000001,-2227.24148787136,-5711.23773219767
1.5,25.000000000001,-2279.29906965292,-5642.78643609096
1.51,25.000000000001,-2331.08623439603,-5574.93001004887
1.52,25.000000000001,-2382.64776153328,-5507.73729114746
1.53,25.000000000001,-2434.01933766709,-5441.26288229472
1.54,25.000000000001,-2485.22897653184,-5375.55047432296
1.55,25.000000000001,-2536.29782608411,-5310.63540271784
1.56,25.000000000001,-2587.24050231276,-5246.54663668737
1.57,25.000000000001,-2638.065045221,-5183.30833026525
1.58,25.000000000001,-2688.77256492568,-5120.94101853288
1.59,25.000000000001,-2739.35662975639,-5059.46250970621
1.6,25.000000000001,-2789.80244039769,-4998.88850105593
1.61,25.000000000001,-2840.08583283159,-4939.23293061884
1.62,25.000000000001,-2890.17215752785,-4880.50806593296
1.63,25.000000000001,-2940.01509312129,-4822.72432484149
1.64,25.000000000001,-2989.55547046195,-4765.8898217778
1.65,25.000000000001,-3038.72020857714,-4710.00963665789
1.66,25.000000000001,-3087.42149881287,-4655.08481410771
1.67,25.000000000001,-3135.55641735887,-4601.11112058651
1.68,25.000000000001,-3183.00719711676,-4548.07761895521
1.69,25.000000000001,-3229.64243999168,-4495.96516682823
1.7,25.000000000001,-3275.31958434736,-4444.74500713969
1.71,25.000000000001,-3319.88893236848,-4394.37769175228
1.72,25.000000000001,-3363.19945017439,-4344.81264654331
1.73,25.000000000001,-3405.10633915871,-4295.98872016479
1.74,25.000000000001,-3445.48001981388,-4247.83601716456
1.75,25.000000000001,-3484.21570424496,-4200.27915916573
1.76,25.000000000001,-3521.24228179326,-4153.2418347992
1.77,25.000000000001,-3556.52900151996,-4106.65214183402
1.78,25.000000000001,-3590.08859955356,-4060.44791594266
1.79,25.000000000001,-3621.97614765186,-4014.58112735146
1.8,25.000000000001,-3652.28382022339,-3969.02059908121
1.81,25.000000000001,-3681.1326544889,-3923.75270490796
1.82,25.000000000001,-3708.66287712015,-3878.78018650818
1.83,25.000000000001,-3735.02436635027,-3834.11959519594
1.84,25.000000000001,-3760.368417828,-3789.79801512417
1.85,25.000000000001,-3784.84142237284,-3745.84967208233
1.86,25.000000000001,-3808.58056203833,-3702.31285913049
1.87,25.000000000001,-3831.71129633346,-3659.22741146302
1.88,25.000000000001,-3854.34625535511,-3616.63279864597
1.89,25.000000000001,-3876.58513365833,-3574.56679553825
1.9,25.000000000001,-3898.5152303314,-3533.06463950293
1.91,25.000000000001,-3920.21236007744,-3492.15856578915
1.92,25.000000000001,-3941.74193948483,-3451.87761914731
1.93,25.000000000001,-3963.16011949415,-3412.24765605456
1.94,25.000000000001,-3984.5148850454,-3373.29147061801
1.95,25.000000000001,-4005.84707823141,-3335.0289946057
1.96,25.000000000001,-4027.1913245373,-3297.47753645965
1.97,25.000000000001,-4048.57685624294,-3260.65203533119
1.98,25.000000000001,-4070.02823557367,-3224.56531447211
1.99,25.000000000001,-4091.56598473815,-3189.22832424362
2,25.000000000001,-4113.20713195378,-3154.65036913309
2.01,25.000000000001,-4134.96568329634,-3120.83931593166
2.02,25.000000000001,-4156.85302979766,-3087.80178208117
2.03,25.000000000001,-4178.8782983896,-3055.54330434755
2.04,25.000000000001,-4201.04865468048,-3024.06848865494
2.05,25.000000000001,-4223.36956427375,-2993.38114233662
2.06,25.000000000001,-4245.84501867722,-2963.48439021339
2.07,25.000000000001,-4268.47773082942,-2934.38077598791
2.08,25.000000000001,-4291.26930464313,-2906.07235039776
2.09,25.000000000001,-4314.22038225096,-2878.56074750753
2.1,25.000000000001,-4337.33077210157,-2851.84725041122
2.11,25.000000000001,-4360.5995605799,-2825.93284750823
2.12,25.000000000001,-4384.02520940045,-2800.81828040008
2.13,25.000000000001,-4407.60564070305,-2776.50408434307
2.14,25.000000000001,-4431.33831146593,-2752.99062208883
2.15,25.000000000001,-4455.22027862635,-2730.27811184585
2.16,25.000000000001,-4479.24825607596,-2708.36665000883
2.17,25.000000000001,-4503.41866453375,-2687.25622922208
2.18,25.000000000001,-4527.72767514446,-2666.94675227361
2.19,25.000000000001,-4552.17124753364,-2647.4380422566
2.2,25.000000000001,-4576.74516291909,-2628.72984936705
2.21,25.000000000001,-4601.44505280131,-2610.82185466653
2.22,25.000000000001,-4626.2664237172,-2593.71367111679
2.23,25.000000000001,-4651.20467842993,-2577.40484213319
2.24,25.000000000001,-4676.25513384055,-2561.89483785661
2.25,25.000000000001,-4701.41303589138,-2547.1830493339
2.26,25.000000000001,-4726.67357172026,-2533.26878079052
2.27,25.000000000001,-4752.03187926773,-2520.15124014944
2.28,25.000000000001,-4777.48305447557,-2507.82952791856
2.29,25.000000000001,-4803.02215619309,-2496.30262455885
2.29999999999999,25.000000000001,-4828.64420890937,-2485.56937644973
2.30999999999999,25.000000000001,-4854.34420341127,-2475.62848056274
2.31999999999999,25.000000000001,-4880.11709542975,-2466.47846794198
2.32999999999999,25.000000000001,-4905.95780231502,-2458.11768608539
2.33999999999999,25.000000000001,-4931.86119778227,-2450.54428033121
2.34999999999999,25.000000000001,-4957.82210476997,-2443.75617436557
2.35999999999999,25.000000000001,-4983.83528643936,-2437.75104997369
2.36999999999999,25.000000000001,-5009.89543533146,-2432.52632616722
2.37999999999999,25.000000000001,-5035.99716070194,-2428.07913784082
2.38999999999999,25.000000000001,-5062.13497406665,-2424.4063141383
2.39999999999999,25.000000000001,-5088.30327299913,-2421.50435673716
2.40999999999999,25.000000000001,-5114.4963232287,-2419.36941829033
2.41999999999999,25.000000000001,-5140.70823910466,-2417.99728130125
2.42999999999999,25.000000000001,-5166.93296252144,-2417.38333775356
2.43999999999999,25.000000000001,-5193.16424043272,-2417.52256986536
2.44999999999999,25.000000000001,-5219.39560111798,-2418.40953238672
2.45999999999999,25.000000000001,-5245.62032940659,-2420.03833691006
2.46999999999999,25.000000000001,-5271.83144111788,-2422.40263871523
2.47999999999999,25.000000000001,-5298.02165703533,-2425.49562671999
2.48999999999999,25.000000000001,-5324.18337679587,-2429.3100171463
2.49999999999999,25.000000000001,-5350.30865313827,-2433.83805153843
2.50999999999999,25.000000000001,-5376.3891670195,-2439.07149977525
2.51999999999999,25.000000000001,-5402.41620416839,-2445.00166869868
2.52999999999999,25.000000000001,-5428.38063369486,-2451.61941692282
2.53999999999999,25.000000000001,-5454.27288940069,-2458.91517628388
2.54999999999999,25.000000000001,-5480.08295443644,-2466.87898023133
2.55999999999999,25.000000000001,-5505.80034983458,-2475.50049920622
2.56999999999999,25.000000000001,-5531.41412782298,-2484.76908295429
2.57999999999999,25.000000000001,-5556.91286945098,-2494.67380882754
2.58999999999999,25.000000000001,-5582.28468758033,-2505.2035354572
2.59999999999999,25.000000000001,-5607.51723444416,-2516.34696000612
2.60999999999999,25.000000000001,-5632.59771343731,-2528.09267702906
2.61999999999999,25.000000000001,-5657.5128940121,-2540.42923627372
2.62999999999999,25.000000000001,-5682.24912797591,-2553.34519622213
2.63999999999999,25.000000000001,-5706.79236501354,-2566.82916968404
2.64999999999999,25.000000000001,-5731.1281643643,-2580.86985732613
2.65999999999999,25.000000000001,-5755.24169909192,-2595.45606474722
2.66999999999999,25.000000000001,-5779.11774852634,-2610.57669859149
2.67999999999999,25.000000000001,-5802.74067390934,-2626.22073723139
2.68999999999999,25.000000000001,-5826.09437157254,-2642.37717177991
2.69999999999999,25.000000000001,-5849.1621974167,-2659.03491354009
2.70999999999999,25.000000000001,-5871.92685585097,-2676.1826644483
2.71999999999999,25.000000000001,-5894.37024570655,-2693.80874754047
2.72999999999999,25.000000000001,-5916.47325487467,-2711.90089487918
2.73999999999999,25.000000000001,-5938.21549440735,-2730.44599067251
2.74999999999999,25.000000000001,-5959.57496146957,-2749.42976738976
2.75999999999999,25.000000000001,-5980.52761866589,-2768.83645252424
2.76999999999998,25.000000000001,-6001.0468747564,-2788.64836322195
2.77999999999998,25.000000000001,-6021.10294844797,-2808.84544534615
2.78999999999998,25.000000000001,-6040.66209266684,-2829.40475275756
2.79999999999998,25.000000000001,-6059.68565137673,-2850.29986185397
2.80999999999998,25.000000000001,-6078.12891460283,-2871.50021604514
2.81999999999998,25.000000000001,-6095.93973005499,-2892.97039536452
2.82999999999998,25.000000000001,-6113.05682222012,-2914.66930869468
2.83999999999998,25.000000000001,-6129.40776349796,-2936.54931148241
2.84999999999998,25.000000000001,-6144.90653889799,-2958.5552624631
2.85999999999998,25.000000000001,-6159.45065335735,-2980.62355225998
2.86999999999998,25.000000000001,-6172.91775506101,-3002.68116954781
2.87999999999998,25.000000000001,-6185.16180686882,-3024.64492359988
