"Plot15"
"Time (sec)","Velocity2 (mm/sec)","Velocity3 (mm/sec)","Velocity4 (mm/sec)"
2.15,3.61332561124212e-12,-2395.5545970883,2231.19929318295
2.16,3.6301317768758e-12,-2409.98116526028,2151.09322010171
2.17,3.64693794250949e-12,-2424.03664843862,2070.99257449005
2.18,3.66374410814317e-12,-2437.69807866391,1990.90577514022
2.19,3.68055027377686e-12,-2450.94603495484,1910.84040006796
2.2,3.69735643941054e-12,-2463.76418260674,1830.80350151141
2.21,3.71416260504422e-12,-2476.13885360236,1750.80189556891
2.22,3.73096877067791e-12,-2488.05866654175,1670.84242598125
2.23,3.74777493631159e-12,-2499.51418994413,1590.93219848614
2.24,3.76458110194528e-12,-2510.49762969935,1511.07879872721
2.25,3.78138726757896e-12,-2521.00254246771,1431.29049161307
2.26,3.79819343321265e-12,-2531.02357020477,1351.57640473876
2.27,3.81499959884633e-12,-2540.55619178954,1271.94669796969
2.28,3.83180576448001e-12,-2549.59648905194,1192.4127204721
2.29,3.8486119301137e-12,-2558.14092482245,1112.98715617349
2.29999999999999,3.86541809574738e-12,-2566.18613060741,1033.68415851849
2.30999999999999,3.88222426138107e-12,-2573.72870173366,954.519475120111
2.31999999999999,3.89903042701475e-12,-2580.76499837638,875.510562430216
2.32999999999999,3.91583659264844e-12,-2587.29095133953,796.676690199808
2.33999999999999,3.93264275828212e-12,-2593.30187154451,718.039035196577
2.34999999999999,3.9494489239158e-12,-2598.79226236781,639.620763401163
2.35999999999999,3.96625508954949e-12,-2603.75563430786,561.447099431651
2.36999999999999,3.98306125518317e-12,-2608.18432197424,483.54538150838
2.37999999999999,3.99986742081686e-12,-2612.06930368363,405.945099790727
2.38999999999999,4.01667358645054e-12,-2615.40002430272,328.677915551858
2.39999999999999,4.03347975208423e-12,-2618.16422234879,251.777658121228
2.40999999999999,4.05028591771791e-12,-2620.34776298512,175.280296029239
2.41999999999999,4.0670920833516e-12,-2621.93447911452,99.2238782551113
2.42999999999999,4.08389824898528e-12,-2622.90602334354,23.6484410652434
2.43999999999999,4.10070441461896e-12,-2623.24173422619,-51.4041244450141
2.44999999999999,4.11751058025265e-12,-2622.9185208857,-125.890249253258
2.45999999999999,4.13431674588633e-12,-2621.91077086772,-199.764912995689
2.46999999999999,4.15112291152002e-12,-2620.19028671918,-272.981925268664
2.47999999999999,4.1679290771537e-12,-2617.72625732996,-345.494266094354
2.48999999999999,4.18473524278739e-12,-2614.48527047532,-417.254488969013
2.49999999999999,4.20154140842107e-12,-2610.43137312953,-488.215188262373
2.50999999999999,4.21834757405475e-12,-2605.52618587494,-558.329530392986
2.51999999999999,4.23515373968844e-12,-2599.72907689184,-627.55184498607
2.52999999999999,4.25195990532212e-12,-2592.99739949669,-695.83826808269
2.53999999999999,4.26876607095581e-12,-2585.28679481048,-763.147424394107
2.54999999999999,4.28557223658949e-12,-2576.55155772263,-829.441129549738
2.55999999999999,4.30237840222318e-12,-2566.74505700905,-894.685083481363
2.56999999999999,4.31918456785686e-12,-2555.82021497742,-958.84953441141
2.57999999999999,4.33599073349054e-12,-2543.72997862412,-1021.90985593228
2.58999999999999,4.35279689912423e-12,-2530.42783147292,-1083.84699150453
2.59999999999999,4.36960306475791e-12,-2515.86823952869,-1144.64773147856
2.60999999999999,4.38640923039159e-12,-2500.00702316063,-1204.30474685204
2.61999999999999,4.40321539602528e-12,-2482.80159604608,-1262.81633469914
2.62999999999999,4.42002156165896e-12,-2464.21100586292,-1320.18581334372
2.63999999999999,4.43682772729264e-12,-2444.19571557492,-1376.42052920864
2.64999999999999,4.45363389292633e-12,-2422.71705229674,-1431.53043327374
2.65999999999999,4.47044005856001e-12,-2399.73625675036,-1485.5262115461
2.66999999999999,4.48724622419369e-12,-2375.21306316139,-1538.41696283562
2.67999999999999,4.50405238982738e-12,-2349.10374591381,-1590.20743891909
2.68999999999999,4.52085855546106e-12,-2321.35857135452,-1640.89487600233
2.69999999999999,4.53766472109475e-12,-2291.91859573687,-1690.46545830813
2.70999999999999,4.55447088672843e-12,-2260.71174860002,-1738.89046138389
2.71999999999999,4.57127705236211e-12,-2227.64813199763,-1786.12212007976
2.72999999999999,4.5880832179958e-12,-2192.61444913071,-1832.08925802778
2.73999999999999,4.60488938362948e-12,-2155.46744633236,-1876.69269753571
2.74999999999999,4.62169554926316e-12,-2116.02621027351,-1919.80044676994
2.75999999999999,4.63850171489685e-12,-2074.06310429561,-1961.24263453474
2.76999999999998,4.65530788053053e-12,-2029.29305458295,-2000.80613783756
2.77999999999998,4.67211404616421e-12,-1981.36080795593,-2038.22882794612
2.78999999999998,4.6889202117979e-12,-1929.8256812917,-2073.19335468438
2.79999999999998,4.70572637743158e-12,-1874.14321417018,-2105.32040702984
2.80999999999998,4.72253254306526e-12,-1813.64303528581,-2134.1614468781
2.81999999999998,4.73933870869895e-12,-1747.50218819664,-2159.1910382996
2.82999999999998,4.75614487433263e-12,-1674.71318806146,-2179.79912724028
2.83999999999998,4.77295103996632e-12,-1594.04630263555,-2195.28403082616
2.84999999999998,4.7897572056e-12,-1504.00615447157,-2204.84758332356
2.85999999999998,4.80656337123369e-12,-1402.78395333904,-2207.59486163312
2.86999999999998,4.82336953686737e-12,-1288.20939797035,-2202.54285722771
2.87999999999998,4.84017570250106e-12,-1157.71036027311,-2188.64445965691
2.88999999999998,4.85698186813474e-12,-1008.296224549,-2164.83775106209
2.89999999999998,4.87378803376843e-12,-836.59178751487,-2130.13405673575
2.90999999999998,4.89059419940211e-12,-638.963466203112,-2083.76086473678
2.91999999999998,4.9074003650358e-12,-411.794079549954,-2025.37369232797
2.92999999999998,4.92420653066948e-12,-151.965462894976,-1955.33785523063
2.93999999999998,4.94101269630317e-12,142.422406897081,-1875.0488151222
2.94999999999998,4.95781886193685e-12,471.158602729216,-1787.20587524444
2.95999999999998,4.97462502757054e-12,831.075048160485,-1695.89664191135
2.96999999999998,4.99143119320422e-12,1215.62439448388,-1606.33948819742
2.97999999999998,5.00823735883791e-12,1615.26293705522,-1524.22824345442
2.98999999999998,5.02504352447159e-12,2018.73956158187,-1454.82210402329
2.99999999999998,5.04184969010528e-12,2414.92548767924,-1402.09887169951
3.00999999999998,5.05865585573896e-12,2794.51077823281,-1368.28261124802
3.01999999999998,5.07546202137265e-12,3151.00552158966,-1353.85564921242
3.02999999999998,5.09226818700633e-12,3480.89944682786,-1357.9331231787
3.03999999999998,5.10907435264002e-12,3783.20764630023,-1378.77577030895
3.04999999999998,5.1258805182737e-12,4058.75557294914,-1414.25745204182
3.05999999999998,5.14268668390739e-12,4309.47816143384,-1462.2018905772
3.06999999999998,5.15949284954107e-12,4537.86782785635,-1520.58230178209
3.07999999999998,5.17629901517476e-12,4746.59831141841,-1587.61518431886
3.08999999999998,5.19310518080844e-12,4938.29736249733,-1661.78618463714
3.09999999999998,5.20991134644213e-12,5115.42619849998,-1741.83861309963
3.10999999999998,5.22671751207581e-12,5280.22753858622,-1826.74493147082
3.11999999999998,5.2435236777095e-12,5434.71375945738,-1915.67304152704
3.12999999999998,5.26032984334318e-12,5580.67615112744,-2007.95346427956
3.13999999999998,5.27713600897687e-12,5719.70345293921,-2103.05006015692
3.14999999999998,5.29394217461056e-12,5853.20274403169,-2200.53506401174
3.15999999999998,5.31074834024424e-12,5982.41887195284,-2300.0682795161
3.16999999999998,5.32755450587792e-12,6108.45050427939,-2401.37987914983
3.17999999999998,5.34436067151161e-12,6232.26204070333,-2504.25613674028
3.18999999999998,5.36116683714529e-12,6354.69133012929,-2608.52743999916
3.19999999999998,5.37797300277898e-12,6476.45363913997,-2714.05801624493
3.20999999999998,5.39477916841266e-12,6598.14267820525,-2820.73691130704
3.21999999999998,5.41158533404634e-12,6720.22974813077,-2928.46990322485
3.22999999999998,5.42839149968003e-12,6843.06235290492,-3037.17214917978
3.23999999999997,5.44519766531371e-12,6966.86370163833,-3146.76149640861
3.24999999999997,5.46200383094739e-12,7091.73451948645,-3257.15249910389
3.25999999999997,5.47880999658108e-12,7217.65837586664,-3368.25126434154
3.26999999999997,5.49561616221476e-12,7344.51133489965,-3479.95129589903
3.27999999999997,5.51242232784844e-12,7472.07616248255,-3592.13049520951
3.28999999999997,5.52922849348213e-12,7600.06066775398,-3704.64942376346
3.29999999999997,5.54603465911581e-12,7728.11913252409,-3817.35083240703
3.30999999999997,5.5628408247495e-12,7855.8753093641,-3930.06034694502
3.31999999999997,5.57964699038318e-12,7982.94524586283,-4042.58808763785
3.32999999999997,5.59645315601686e-12,8108.95825026558,-4154.73091872834
3.33999999999997,5.61325932165055e-12,8233.57462556803,-4266.27498773347
3.34999999999997,5.63006548728423e-12,8356.49927693149,-4376.99822650321
3.35999999999997,5.64687165291791e-12,8477.49083377139,-4486.67253971831
3.36999999999997,5.6636778185516e-12,8596.36641887677,-4595.0654855624
3.37999999999997,5.68048398418528e-12,8713.00257162025,-4701.9413410715
3.38999999999997,5.69729014981896e-12,8827.33305875108,-4807.0615257012
3.39999999999997,5.71409631545265e-12,8939.34438900327,-4910.18442194476
3.40999999999997,5.73090248108633e-12,9049.06981559699,-5011.06467745664
3.41999999999997,5.74770864672001e-12,9156.58250212385,-5109.45210051303
3.42999999999997,5.7645148123537e-12,9261.98838054912,-5205.09027403092
3.43999999999997,5.78132097798738e-12,9365.41907512653,-5297.71501848389
3.44999999999997,5.79812714362107e-12,9467.02512358592,-5387.05283679024
3.45999999999997,5.81493330925475e-12,9566.96960821082,-5472.81947988834
3.46999999999997,5.83173947488843e-12,9665.4222189142,-5554.71878485812
3.47999999999997,5.84854564052212e-12,9762.55370852334,-5632.44196199439
3.48999999999997,5.8653518061558e-12,9858.53066592276,-5705.66754649068
3.49999999999997,5.88215797178948e-12,9953.51052476693,-5774.06228701288
3.50999999999997,5.89896413742317e-12,10047.6367453526,-5837.28331892374
3.51999999999997,5.91577030305685e-12,10141.0341593105,-5894.98206324508
3.52999999999997,5.93257646869053e-12,10233.8045591837,-5946.81039768649
3.53999999999997,5.94938263432422e-12,10326.0227593125,-5992.42974811717
3.54999999999997,5.9661887999579e-12,10417.7335638557,-6031.52381709578
3.55999999999997,5.98299496559158e-12,10508.9503617565,-6063.81564583967
3.56999999999997,5.99980113122527e-12,10599.6564220979,-6089.08950957006
3.57999999999997,6.01660729685895e-12,10689.810348856,-6107.21764763084
3.58999999999997,6.03341346249264e-12,10779.3574398899,-6118.1908614086
3.59999999999997,6.05021962812632e-12,10868.2489978969,-6122.15053892869
3.60999999999997,6.06702579376e-12,10956.4704458131,-6119.41723444259
3.61999999999997,6.08383195939369e-12,11044.0789044208,-6110.50866228117
3.62999999999997,6.10063812502737e-12,11131.247045995,-6096.13720975602
3.63999999999997,6.11744429066106e-12,11218.3070946682,-6077.17628463686
3.64999999999997,6.13425045629474e-12,11305.7843833518,-6054.58668254237
3.65999999999997,6.15105662192843e-12,11394.4070692016,-6029.30026742156
3.66999999999997,6.16786278756211e-12,11485.0792399564,-6002.06825963653
3.67999999999997,6.18466895319579e-12,11578.8105012771,-5973.29272401236
3.68999999999997,6.20147511882948e-12,11676.6058729269,-5942.86768795234
3.69999999999997,6.21828128446316e-12,11779.3322091161,-5910.05579103945
3.70999999999996,6.23508745009685e-12,11887.586213123,-5873.4153720866
3.71999999999996,6.25189361573053e-12,12001.5900009162,-5830.77391046192
3.72999999999996,6.26869978136422e-12,12121.1320543608,-5779.22259971294
3.73999999999996,6.2855059469979e-12,12245.5572167957,-5715.08907231632
3.74999999999996,6.30231211263158e-12,12373.7939675859,-5633.83240369012
3.75999999999996,6.31911827826527e-12,12504.3942263764,-5529.79230622328
3.76999999999996,6.33592444389895e-12,12635.5505739491,-5395.7033193028
3.77999999999996,6.35273060953264e-12,12765.0438362452,-5221.84021709928
3.78999999999996,6.36953677516632e-12,12890.0511355952,-4994.57185493919
3.79999999999996,6.38634294080001e-12,13006.6935895659,-4693.93918037096
3.80999999999996,6.40314910643369e-12,13109.0939329783,-4289.62261103551
3.81999999999996,6.41995527206738e-12,13187.5058900427,-3734.45197138862
3.82999999999996,6.43676143770106e-12,13224.8045416858,-2955.34378101564
3.83999999999996,6.45356760333474e-12,13190.9695701449,-1847.28752997105
3.84999999999996,6.47037376896843e-12,13039.5809491002,-298.02951706023
3.85999999999996,6.48717993460212e-12,12724.9267301018,1695.3985761173
3.86999999999996,6.5039861002358e-12,12257.4375046559,3859.51954439714
3.87999999999996,6.52079226586948e-12,11727.2553036516,5763.36330275138
3.88999999999996,6.53759843150317e-12,11225.4241885242,7188.03979076271
3.89999999999996,6.55440459713685e-12,10786.408879543,8175.19449803211
3.90999999999996,6.57121076277054e-12,10407.2593099752,8847.02389477869
3.91999999999996,6.58801692840422e-12,10075.0140920438,9307.18698586196
3.92999999999996,6.6048230940379e-12,9777.71264727421,9625.65899700628
3.93999999999996,6.62162925967158e-12,9506.58156455584,9847.2059917953
3.94999999999996,6.63843542530527e-12,9255.66355899498,10000.6784083136
3.95999999999996,6.65524159093895e-12,9021.03848783938,10105.2879182936
3.96999999999996,6.67204775657264e-12,8800.14613186855,10174.4043123303
3.97999999999996,6.68885392220632e-12,8591.27044897698,10217.7798135455
3.98999999999996,6.70566008784001e-12,8393.15664062063,10242.825592871
3.99999999999996,6.72246625347369e-12,8204.73367941272,10255.3128491949
4.00999999999996,6.73927241910738e-12,8024.93043743219,10259.7220486393
4.01999999999996,6.75607858474106e-12,7852.58352175923,10259.3874916447
4.02999999999996,6.77288475037475e-12,7686.43394019627,10256.5476144779
4.03999999999996,6.78969091600843e-12,7525.19860856286,10252.3884106739
