"Plot16"
"Time (sec)","Acceleration4 (mm/sec**2)","Acceleration5 (mm/sec**2)","Acceleration6 (mm/sec**2)"
3.89999999999996,1.68061656336844e-12,-40714.7870920312,80933.578785196
3.90999999999996,1.68061656336844e-12,-35346.5940614017,55169.5584291782
3.91999999999996,1.68061656336844e-12,-31304.0488864547,38011.0984385355
3.92999999999996,1.68061656336844e-12,-28301.444213521,26413.4940462627
3.93999999999996,1.68061656336844e-12,-26022.6754813733,18366.5134673474
3.94999999999996,1.68061656336844e-12,-24225.1260359594,12642.0583917439
3.95999999999996,1.68061656336844e-12,-22741.7087960635,8499.10894577421
3.96999999999996,1.68061656336844e-12,-21464.7286706033,5484.64965203022
3.97999999999996,1.68061656336844e-12,-20330.8581514469,3312.83679152041
3.98999999999996,1.68061656336844e-12,-19309.4474087045,1791.95565251956
3.99999999999996,1.68061656336844e-12,-18392.8436193882,779.954021669877
4.00999999999996,1.68061656336844e-12,-17587.1922279308,157.39397389288
4.01999999999996,1.68061656336844e-12,-16903.3001833198,-187.055828562033
4.02999999999996,1.68061656336843e-12,-16348.2064011921,-361.316934050396
4.03999999999996,1.68061656336843e-12,-15918.9175479264,-466.977621276648
4.04999999999996,1.68061656336843e-12,-15599.8914524687,-591.993886746532
4.05999999999996,1.68061656336843e-12,-15364.7716076234,-802.673330553685
