"Plot8"
"Time (sec)","Linear Velocity5 (mm/sec)","Linear Velocity6 (mm/sec)","Velocity1 (mm/sec)"
1.71,3.2023578968901e-12,-1290.30750771813,6153.42629415415
1.72,3.2219751704353e-12,-1232.93490981523,6039.21827976015
1.73,3.241582009953e-12,-1178.60810053287,5925.92317439092
1.74,3.26117587111998e-12,-1127.08590494515,5813.53470543587
1.75,3.28075456238279e-12,-1078.14730108677,5702.0300927498
1.76,3.30031622292061e-12,-1031.59052705219,5591.37290849599
1.77,3.31985930013825e-12,-987.232123394357,5481.51569719173
1.78,3.33938252691001e-12,-944.90591862134,5372.40235945619
1.79,3.35888489880093e-12,-904.461968296789,5263.97030356535
1.8,3.37836565148827e-12,-865.765460235492,5156.15237003817
1.81,3.39782423859253e-12,-828.695599103797,5048.8785359886
1.82,3.41726031010938e-12,-793.144484099051,4942.07740748264
1.83,3.4366736916101e-12,-759.015992925459,4835.67750970536
1.84,3.45606436435291e-12,-726.224684505283,4729.60838607202
1.85,3.47543244642091e-12,-694.694731651951,4623.80151859628
1.86,3.49477817497543e-12,-664.358893501117,4518.19108268377
1.87,3.51410188968828e-12,-635.157535936581,4412.71455013688
1.88,3.53340401739189e-12,-607.03770660713,4307.31315446995
1.89,3.55268505796484e-12,-579.952269515597,4201.9322326866
1.9,3.5719455714505e-12,-553.85910259828,4096.52145748234
1.91,3.59118616638987e-12,-528.720360273692,3991.03497343546
1.92,3.6104074893352e-12,-504.501801626368,3885.43145018195
1.93,3.62961021549973e-12,-481.1721837361,3779.67406484686
1.94,3.64879504050647e-12,-458.702717754238,3673.73042809223
1.95,3.66796267308955e-12,-437.06658982628,3567.57245003864
1.96,3.68711382883279e-12,-416.238536599898,3461.17618048739
1.97,3.70624922480532e-12,-396.194474897423,3354.52162082255
1.98,3.7253695749219e-12,-376.911187182243,3247.59249795458
1.99,3.74447558610802e-12,-358.366050910299,3140.37603248835
2,3.76356795513757e-12,-340.53681154301,3032.86269583588
2.01,3.78264736607739e-12,-323.401394641867,2925.04596206913
2.02,3.80171448827562e-12,-306.937752501268,2816.92205938635
2.03,3.82076997483345e-12,-291.123741425553,2708.48972480002
2.04,3.83981446150419e-12,-275.937026101069,2599.74996495285
2.05,3.85884856596563e-12,-261.355007510729,2490.70582551421
2.06,3.87787288741528e-12,-247.35477088538,2381.36217106851
2.07,3.89688800644253e-12,-233.913050621507,2271.72547689331
2.08,3.91589448513743e-12,-221.006209472665,2161.80363361943
2.09,3.93489286739854e-12,-208.610229621764,2051.60576542248
2.1,3.95388367940642e-12,-196.700713322556,1941.14206215726
2.11,3.97286743023228e-12,-185.252891094118,1830.42362555637
2.12,3.99184461255585e-12,-174.24163577871,1719.46232938948
2.13,4.01081570346976e-12,-163.64148105978,1608.27069328887
2.14,4.02978116535059e-12,-153.426643180031,1496.86176984144
2.15,4.04874144677914e-12,-143.571044770119,1385.24904443161
2.16,4.06769698349568e-12,-134.048339904856,1273.44634719951
2.17,4.08664819937812e-12,-124.831939721707,1161.46777641736
2.18,4.10559550743349e-12,-115.895038067841,1049.32763251048
2.19,4.12453931079463e-12,-107.210636737304,937.040361946617
2.2,4.143480003716e-12,-98.7515699690158,824.620510164594
2.21,4.16241797256384e-12,-90.4905280149378,712.082682683273
2.22,4.18135359679784e-12,-82.4000796648945,599.441513528538
2.23,4.20028724994206e-12,-74.4526936820783,486.711640095565
2.24,4.21921930054409e-12,-66.620759146811,373.907683582985
2.25,4.23815011312233e-12,-58.876604761703,261.044234110294
2.26,4.25708004910203e-12,-51.1925172285248,148.13583964103
2.27,4.27600946774103e-12,-43.5407588275401,35.1969978261002
2.28,4.29493872704702e-12,-35.8935843390738,-77.75785009743
2.29,4.31386818468783e-12,-28.2232574710799,-190.714324230764
2.29999999999999,4.3327981988969e-12,-20.5020669487009,-303.658110620902
2.30999999999999,4.3517291293759e-12,-12.7023424469762,-416.57496643166
2.31999999999999,4.37066133819633e-12,-4.79647050673845,-529.450726524421
2.32999999999999,4.38959519070176e-12,3.2430894239349,-642.271312318919
2.33999999999999,4.4085310564119e-12,11.4437887201235,-755.022743779147
2.34999999999999,4.42746930992932e-12,19.8329729942165,-867.691155378454
2.35999999999999,4.44641033184878e-12,28.4378651642398,-980.262816891103
2.36999999999999,4.46535450966859e-12,37.2855481818839,-1092.72415983228
2.37999999999999,4.48430223870218e-12,46.4029475036749,-1205.06181038521
2.38999999999999,4.50325392298722e-12,55.8168134401864,-1317.26262960732
2.39999999999999,4.52220997618808e-12,65.5537036139622,-1429.31376170706
2.40999999999999,4.54117082248641e-12,75.6399658410846,-1541.2026911547
2.41999999999999,4.56013689745229e-12,86.1017218641628,-1652.91730932841
2.42999999999999,4.57910864888751e-12,96.9648524859763,-1764.44599138588
2.43999999999999,4.59808653762962e-12,108.254984778988,-1875.77768395618
2.44999999999999,4.61707103830384e-12,119.997482206799,-1986.90200419285
2.45999999999999,4.63606264000727e-12,132.217438650351,-2097.80935062012
2.46999999999999,4.65506184690718e-12,144.939677516427,-2208.49102609536
2.47999999999999,4.67406917873243e-12,158.188757296487,-2318.93937306202
2.48999999999999,4.69308517113416e-12,171.988985156037,-2429.14792110081
2.49999999999999,4.71211037588846e-12,186.364440349934,-2539.11154658624
2.50999999999999,4.73114536091068e-12,201.33900948843,-2648.8266440081
2.51999999999999,4.75019071004729e-12,216.936435924352,-2758.29130824463
2.52999999999999,4.7692470226077e-12,233.180385748177,-2867.50552675437
2.53999999999999,4.78831491259501e-12,250.094533139055,-2976.47138026895
2.54999999999999,4.80739500759054e-12,267.702668024878,-3085.19325016365
2.55999999999999,4.8264879472438e-12,286.028829221933,-3193.67803019875
2.56999999999999,4.84559438131607e-12,305.097466415522,-3301.93533978765
2.57999999999999,4.86471496722225e-12,324.933634475862,-3409.97773538332
2.58999999999999,4.88385036701335e-12,345.563223727902,-3517.82091589877
2.59999999999999,4.90300124373899e-12,367.013229818152,-3625.48391742146
2.60999999999999,4.92216825712846e-12,389.312066819794,-3732.98929169676
2.61999999999999,4.94135205852702e-12,412.489927085008,-3840.363262108
2.62999999999999,4.9605532850253e-12,436.579191170946,-3947.63585003116
2.63999999999999,4.9797725527202e-12,461.614890833643,-4054.84096362229
2.64999999999999,4.99901044904878e-12,487.635227661772,-4162.01644024914
2.65999999999999,5.018267524141e-12,514.682149341989,-4269.20403293643
2.66999999999999,5.03754428114304e-12,542.801984866726,-4376.44933042575
2.67999999999999,5.05684116547119e-12,572.046139123319,-4483.80159968457
2.68999999999999,5.0761585529663e-12,602.471846361231,-4591.31353908596
2.69999999999999,5.09549673693116e-12,634.142980900066,-4699.04092992406
2.70999999999999,5.11485591404782e-12,667.130922254453,-4807.04217355202
2.71999999999999,5.13423616918818e-12,701.515470542285,-4915.37770122731
2.72999999999999,5.15363745915043e-12,737.385806727306,-5024.10924368962
2.73999999999999,5.17305959537358e-12,774.841490896287,-5133.2989477407
2.74999999999999,5.19250222570455e-12,813.993490534393,-5243.00832744489
2.75999999999999,5.21196481531384e-12,854.965229620705,-5353.29703824528
2.76999999999998,5.23144662687835e-12,897.893648482245,-5464.22146306874
2.77999999999998,5.25094670017023e-12,942.93026376969,-5575.83310047455
2.78999999999998,5.27046383114479e-12,990.242221722174,-5688.1767548806
