"Plot12"
"Time (sec)","Angular Velocity1 (deg/sec)"
6.7799999999999,-15.014506830936
6.7899999999999,-13.5071586482967
6.7999999999999,-11.9914510952395
6.8099999999999,-10.4674493575316
6.8199999999999,-8.93525614119861
6.8299999999999,-7.39501090303815
6.8399999999999,-5.84688877308783
6.8499999999999,-4.29109919005515
6.8599999999999,-2.72788427787042
6.8699999999999,-1.15751699476272
6.8799999999999,0.419700909214462
6.8899999999999,2.00344108539517
6.8999999999999,3.59335089031915
6.9099999999999,5.18905575520022
6.9199999999999,6.79016157800291
6.9299999999999,8.3962570955255
6.9399999999999,10.0069161932102
6.9499999999999,11.621700115798
6.9599999999999,13.2401595423567
6.9699999999999,14.8618364967361
6.9799999999999,16.4862660663031
6.9899999999999,18.1129779095364
6.9999999999999,19.74149753667
7.00999999999989,21.3713473538458
7.01999999999989,23.0020474664962
7.02999999999989,24.6331162421511
7.03999999999989,26.2640706383443
7.04999999999989,27.8944263050846
7.05999999999989,29.5236974746318
7.06999999999989,31.1513966561015
7.07999999999989,32.7770341529295
7.08999999999989,34.4001174252409
7.09999999999989,36.0201503199579
7.10999999999989,37.6366321922754
7.11999999999989,39.2490569439811
7.12999999999989,40.8569120031795
7.13999999999989,42.4596772710024
7.14999999999989,44.0568240596647
7.15999999999989,45.647814046872
7.16999999999989,47.2320982694099
7.17999999999989,48.8091161791002
7.18999999999989,50.3782947828876
7.19999999999989,51.9390478867583
7.20999999999989,53.4907754641139
7.21999999999989,55.0328631647856
7.22999999999989,56.5646819830751
7.23999999999989,58.0855880980199
7.24999999999989,59.594922900713
7.25999999999989,61.0920132195356
7.26999999999989,62.5761717537637
7.27999999999989,64.0466977236087
7.28999999999989,65.5028777429491
7.29999999999989,66.9439869194223
7.30999999999989,68.3692901837499
7.31999999999989,69.7780438491931
7.32999999999989,71.1694973992061
7.33999999999989,72.542895499257
7.34999999999989,73.8974802281759
7.35999999999989,75.2324935198979
7.36999999999989,76.5471798081778
7.37999999999989,77.8407888615409
7.38999999999989,79.1125787976132
7.39999999999989,80.361819262207
7.40999999999989,81.5877947594104
7.41999999999989,82.7898081167208
7.42999999999989,83.9671840697403
7.43999999999989,85.1192729504446
7.44999999999989,86.2454544617921
7.45999999999989,87.3451415233761
7.46999999999989,88.4177841706159
7.47999999999988,89.462873491402
7.48999999999988,90.4799455830187
7.49999999999988,91.4685855120207
7.50999999999988,92.4284312583175
