"Plot9"
"Time (sec)","Acceleration1 (mm/sec**2)","Acceleration2 (mm/sec**2)","Linear Acceleration2 (mm/sec**2)"
2.54999999999999,9.40855923310997e-13,3275.92622938791,-4.77368750865238
2.55999999999999,9.40855923310997e-13,3386.45619464681,-4.68260175444781
2.56999999999999,9.40855923310997e-13,3497.8507365699,-4.58466866353026
2.57999999999999,9.40855923310997e-13,3609.64263669551,-4.47953926894295
2.58999999999999,9.40855923310997e-13,3721.32385496759,-4.36686486456797
2.59999999999999,9.40855923310997e-13,3832.34349818995,-4.24629985281865
2.60999999999999,9.40855923310997e-13,3942.1059505619,-4.1175049304163
2.61999999999999,9.40855923310997e-13,4049.96915825351,-3.98015062863939
2.62999999999999,9.40855923310997e-13,4155.24316653884,-3.83392121258369
2.63999999999999,9.40855923310997e-13,4257.18893122294,-3.67851893597468
2.64999999999999,9.40855923310997e-13,4355.01748538406,-3.5136686583411
2.65999999999999,9.40855923310997e-13,4447.88951378009,-3.33912278930734
2.66999999999999,9.40855923310997e-13,4534.91541330553,-3.15466656613751
2.67999999999999,9.40855923310997e-13,4615.15589107703,-2.96012359939251
2.68999999999999,9.40855923310997e-13,4687.62320091381,-2.75536167448359
2.69999999999999,9.40855923310997e-13,4751.2830431924,-2.54029871894433
2.70999999999999,9.40855923310997e-13,4805.05725109062,-2.31490889805925
2.71999999999999,9.40855923310997e-13,4847.82726151608,-2.07922871484594
2.72999999999999,9.40855923310997e-13,4878.43848846926,-1.83336305075241
2.73999999999999,9.40855923310997e-13,4895.70558217991,-1.57749099122252
2.74999999999999,9.40855923310997e-13,4898.41865306903,-1.31187133484205
2.75999999999999,9.40855923310997e-13,4885.35043364672,-1.03684760826692
2.76999999999998,9.40855923310997e-13,4855.26439270257,-0.752852445992314
2.77999999999998,9.40855923310997e-13,4806.92375645039,-0.460411143736167
2.78999999999998,9.40855923310997e-13,4739.05528064209,-0.160119987114245
2.79999999999998,9.40855923310997e-13,4650.50699529766,0.147275773893533
2.80999999999998,9.40855923310997e-13,4540.17196436053,0.460925158911183
2.81999999999998,9.40855923310997e-13,4406.8370877008,0.779962613117713
2.82999999999998,9.40855923310997e-13,4249.39971693477,1.10340180909426
2.83999999999998,9.40855923310997e-13,4066.87308044299,1.43014396634762
2.84999999999998,9.40855923310997e-13,3858.33343370809,1.75901972681899
2.85999999999998,9.40855923310997e-13,3622.94170822477,2.08879302015972
2.86999999999998,9.40855923310997e-13,3359.96032549056,2.41816930109795
2.87999999999998,9.40855923310997e-13,3068.76345767848,2.74580884532018
2.88999999999998,9.40855923310997e-13,2748.84598214228,3.07034215112994
2.89999999999998,9.40855923310997e-13,2399.83126412972,3.39038710784222
