"Plot2"
"Time (sec)","Center of Mass Position2 (mm)","Center of Mass Position4 (mm)","Center of Mass Position5 (mm)"
2.36999999999999,3.67761376907083e-13,-1908.89477513046,-542.695567436699
2.37999999999999,3.67761376907083e-13,-1907.22889707155,-548.428660123962
2.38999999999999,3.67761376907083e-13,-1905.38025725526,-554.717170782502
2.39999999999999,3.67761376907083e-13,-1903.34348207588,-561.559014551105
2.40999999999999,3.67761376907083e-13,-1901.11274221544,-568.951866305989
2.41999999999999,3.67761376907083e-13,-1898.68176030977,-576.89314473384
2.42999999999999,3.67761376907083e-13,-1896.04381965385,-585.379995033351
2.43999999999999,3.67761376907083e-13,-1893.19177405547,-594.409270235124
2.44999999999999,3.67761376907083e-13,-1890.11805895616,-603.977511133948
2.45999999999999,3.67761376907083e-13,-1886.81470394869,-614.08092483279
2.46999999999999,3.67761376907083e-13,-1883.27334683052,-624.715361904441
2.47999999999999,3.67761376907083e-13,-1879.48524934331,-635.876292184832
2.48999999999999,3.67761376907083e-13,-1875.44131475861,-647.558779221624
2.49999999999999,3.67761376907083e-13,-1871.13210748032,-659.757453412936
2.50999999999999,3.67761376907083e-13,-1866.54787484393,-672.466483884067
2.51999999999999,3.67761376907083e-13,-1861.67857130207,-685.679549164928
2.52999999999999,3.67761376907083e-13,-1856.51388519421,-699.389806747683
2.53999999999999,3.67761376907083e-13,-1851.04326830593,-713.589861622954
2.54999999999999,3.67761376907083e-13,-1845.25596842921,-728.27173391379
2.55999999999999,3.67761376907083e-13,-1839.1410651398,-743.426825749647
2.56999999999999,3.67761376907083e-13,-1832.68750901048,-759.045887547659
2.57999999999999,3.67761376907083e-13,-1825.88416447899,-775.118983895697
2.58999999999999,3.67761376907083e-13,-1818.71985658725,-791.635459260803
2.59999999999999,3.67761376907083e-13,-1811.18342180252,-808.583903777587
2.60999999999999,3.67761376907083e-13,-1803.26376312209,-825.952119403779
2.61999999999999,3.67761376907083e-13,-1794.94990964936,-843.727086764089
2.62999999999999,3.67761376907083e-13,-1786.23108081128,-861.894933038537
2.63999999999999,3.67761376907083e-13,-1777.09675536388,-880.440901286908
2.64999999999999,3.67761376907083e-13,-1767.53674530357,-899.349321636567
2.65999999999999,3.67761376907083e-13,-1757.54127476751,-918.60358479571
2.66999999999999,3.67761376907083e-13,-1747.10106396455,-938.186118387573
2.67999999999999,3.67761376907083e-13,-1736.20741813079,-958.078366632151
2.68999999999999,3.67761376907083e-13,-1724.85232144841,-978.260773929712
2.69999999999999,3.67761376907083e-13,-1713.02853580477,-998.712772923404
2.70999999999999,3.67761376907083e-13,-1700.72970419978,-1019.41277763556
