"Body 2 CM Motion"
"Time (sec)","Center of Mass Position6 (mm)","Center of Mass Position8 (mm)","Center of Mass Position9 (mm)"
1.77,7.94503351997378e-13,-3651.0984148028,-1441.16844162738
1.78,7.94503351997378e-13,-3660.50055199705,-1386.89944600181
1.79,7.94503351997378e-13,-3669.51170638386,-1333.71812300436
1.8,7.94503351997378e-13,-3678.14843682508,-1281.61799255054
1.81,7.94503351997378e-13,-3686.42608969182,-1230.59326179857
1.82,7.94503351997378e-13,-3694.35893592758,-1180.63884614834
1.83,7.94503351997378e-13,-3701.96029610205,-1131.75037633735
1.84,7.94503351997378e-13,-3709.24265365623,-1083.92419359951
1.85,7.94503351997378e-13,-3716.21775666019,-1037.15733473757
1.86,7.94503351997378e-13,-3722.89670850712,-991.447508830774
1.87,7.94503351997378e-13,-3729.29004805626,-946.793067165294
1.88,7.94503351997378e-13,-3735.40781980817,-903.192967834878
1.89,7.94503351997378e-13,-3741.25963474985,-860.646736317713
1.9,7.94503351997378e-13,-3746.85472254543,-819.154423194988
1.91,7.94503351997378e-13,-3752.20197577026,-778.716560038472
1.92,7.94503351997378e-13,-3757.30998689503,-739.334114361902
1.93,7.94503351997378e-13,-3762.1870787223,-701.008444404173
1.94,7.94503351997378e-13,-3766.84132897556,-663.741254394015
1.95,7.94503351997378e-13,-3771.28058967545,-627.534550833699
1.96,7.94503351997378e-13,-3775.51250192792,-592.390600242137
1.97,7.94503351997378e-13,-3779.54450678209,-558.311888706465
1.98,7.94503351997378e-13,-3783.38385271317,-525.301083502726
1.99,7.94503351997378e-13,-3787.03760018824,-493.360996974006
2,7.94503351997378e-13,-3790.51262377138,-462.494552796636
2.01,7.94503351997378e-13,-3793.81561223456,-432.704754710729
2.02,7.94503351997378e-13,-3796.95306707825,-403.994657739305
2.03,7.94503351997378e-13,-3799.93129977455,-376.36734187807
2.04,7.94503351997378e-13,-3802.75642800334,-349.825888208135
2.05,7.94503351997378e-13,-3805.43437115064,-324.373357359962
2.06,7.94503351997378e-13,-3807.97084531287,-300.012770233843
2.07,7.94503351997378e-13,-3810.3713579928,-276.747090863098
2.08,7.94503351997378e-13,-3812.64120262687,-254.579211294537
2.09,7.94503351997378e-13,-3814.7854530704,-233.511938354668
2.1,7.94503351997378e-13,-3816.80895815885,-213.547982165341
2.11,7.94503351997378e-13,-3818.71633643522,-194.68994626832
2.12,7.94503351997378e-13,-3820.51197110078,-176.940319217409
2.13,7.94503351997378e-13,-3822.20000523069,-160.301467499739
2.14,7.94503351997378e-13,-3823.78433729291,-144.775629652274
2.15,7.94503351997378e-13,-3825.26861699965,-130.364911443717
2.16,7.94503351997378e-13,-3826.65624150368,-117.071281996867
2.17,7.94503351997378e-13,-3827.95035193936,-104.896570733249
2.18,7.94503351997378e-13,-3829.15383030685,-93.8424650299691
2.19,7.94503351997378e-13,-3830.26929669741,-83.9105084866372
2.2,7.94503351997378e-13,-3831.29910685234,-75.1020997077142
2.21,7.94503351997378e-13,-3832.24535004156,-67.4184915137703
2.22,7.94503351997378e-13,-3833.10984724687,-60.8607905041218
2.23,7.94503351997378e-13,-3833.89414963754,-55.4299569023637
2.24,7.94503351997378e-13,-3834.59953732667,-51.1268046248772
2.25,7.94503351997378e-13,-3835.22701839498,-47.9520015208531
2.26,7.94503351997378e-13,-3835.77732816893,-45.9060697412255
2.27,7.94503351997378e-13,-3836.25092874275,-44.9893862029914
2.28,7.94503351997378e-13,-3836.64800873705,-45.2021831241955
2.29,7.94503351997378e-13,-3836.96848328795,-46.5445486133909
2.29999999999999,7.94503351997378e-13,-3837.2119942613,-49.0164273059781
2.30999999999999,7.94503351997378e-13,-3837.3779106891,-52.6176210486397
2.31999999999999,7.94503351997378e-13,-3837.46532942787,-57.3477896418388
2.32999999999999,7.94503351997378e-13,-3837.47307604072,-63.2064516588837
2.33999999999999,7.94503351997378e-13,-3837.39970590581,-70.1929853685113
2.34999999999999,7.94503351997378e-13,-3837.24350555502,-78.3066297964733
2.35999999999999,7.94503351997378e-13,-3837.00249424763,-87.5464859701836
2.36999999999999,7.94503351997378e-13,-3836.67442578506,-97.9115183988719
2.37999999999999,7.94503351997378e-13,-3836.25679057193,-109.400556849918
2.38999999999999,7.94503351997378e-13,-3835.74681792778,-122.012298490159
2.39999999999999,7.94503351997378e-13,-3835.14147865229,-135.745310468958
2.40999999999999,7.94503351997378e-13,-3834.43748784431,-150.59803302759
2.41999999999999,7.94503351997378e-13,-3833.63130797172,-166.568783226851
2.42999999999999,7.94503351997378e-13,-3832.71915218406,-183.655759391738
2.43999999999999,7.94503351997378e-13,-3831.69698785361,-201.857046378428
2.44999999999999,7.94503351997378e-13,-3830.56054032325,-221.170621774584
2.45999999999999,7.94503351997378e-13,-3829.30529683013,-241.594363148846
2.46999999999999,7.94503351997378e-13,-3827.92651056316,-263.126056469159
2.47999999999999,7.94503351997378e-13,-3826.41920479903,-285.763405812094
2.48999999999999,7.94503351997378e-13,-3824.77817704647,-309.504044486253
2.49999999999999,7.94503351997378e-13,-3822.99800311099,-334.345547691969
2.50999999999999,7.94503351997378e-13,-3821.07304097244,-360.28544683638
2.51999999999999,7.94503351997378e-13,-3818.99743434557,-387.321245617201
2.52999999999999,7.94503351997378e-13,-3816.76511576863,-415.450437979821
2.53999999999999,7.94503351997378e-13,-3814.36980903781,-444.67052804017
2.54999999999999,7.94503351997378e-13,-3811.80503077535,-474.979052049618
2.55999999999999,7.94503351997378e-13,-3809.06409088688,-506.373602457573
2.56999999999999,7.94503351997378e-13,-3806.14009162878,-538.851854101725
2.57999999999999,7.94503351997378e-13,-3803.02592497016,-572.411592524676
2.58999999999999,7.94503351997378e-13,-3799.7142678958,-607.050744378267
2.59999999999999,7.94503351997378e-13,-3796.19757525763,-642.767409832871
2.60999999999999,7.94503351997378e-13,-3792.4680697428,-679.559896857568
2.61999999999999,7.94503351997378e-13,-3788.51772848724,-717.426757178236
2.62999999999999,7.94503351997378e-13,-3784.33826582634,-756.366823653577
2.63999999999999,7.94503351997378e-13,-3779.92111163853,-796.37924873384
2.64999999999999,7.94503351997378e-13,-3775.25738470611,-837.46354358332
2.65999999999999,7.94503351997378e-13,-3770.33786049052,-879.619617355597
2.66999999999999,7.94503351997378e-13,-3765.15293269851,-922.847816010306
2.67999999999999,7.94503351997378e-13,-3759.69256800242,-967.148959952322
2.68999999999999,7.94503351997378e-13,-3753.94625327401,-1012.52437965947
2.69999999999999,7.94503351997378e-13,-3747.9029346974,-1058.97594834417
2.70999999999999,7.94503351997378e-13,-3741.55094814514,-1106.50611056905
2.71999999999999,7.94503351997378e-13,-3734.87794023228,-1155.11790560829
2.72999999999999,7.94503351997378e-13,-3727.87077950816,-1204.81498421687
2.73999999999999,7.94503351997378e-13,-3720.51545730381,-1255.60161734098
2.74999999999999,7.94503351997378e-13,-3712.79697782527,-1307.48269517752
