"Plot13"
"Time (sec)","Angular Velocity2 (deg/sec)"
3.61999999999997,-22.6291433024468
3.62999999999997,-35.3072778922754
3.63999999999997,-47.9997645576623
3.64999999999997,-60.7124719071206
3.65999999999997,-73.4515300445119
3.66999999999997,-86.2223754136102
3.67999999999997,-99.0283808569041
3.68999999999997,-111.868937853799
3.69999999999997,-124.736825583316
3.70999999999996,-137.614674329224
3.71999999999996,-150.470319594439
3.72999999999996,-163.250916552359
3.73999999999996,-175.875746541612
3.74999999999996,-188.228086981237
3.75999999999996,-200.146976939778
3.76999999999996,-211.420668572989
3.77999999999996,-221.784675967356
3.78999999999996,-230.928358059699
3.79999999999996,-238.514069638636
3.80999999999996,-244.210962709948
3.81999999999996,-247.740802518281
3.82999999999996,-248.92663878979
3.83999999999996,-247.730205111728
3.84999999999996,-244.264737439003
3.85999999999996,-238.777881624962
3.86999999999996,-231.61062403466
3.87999999999996,-223.146084574206
3.88999999999996,-213.762609756645
3.89999999999996,-203.800288809654
3.90999999999996,-193.543171523114
3.91999999999996,-183.214599923578
3.92999999999996,-172.981156988733
3.93999999999996,-162.960984971632
3.94999999999996,-153.233414360986
3.95999999999996,-143.848104068973
3.96999999999996,-134.832875773546
3.97999999999996,-126.199988789464
3.98999999999996,-117.950969386655
3.99999999999996,-110.080198594541
4.00999999999996,-102.577514907681
4.01999999999996,-95.4300607962195
4.02999999999996,-88.6235657640481
4.03999999999996,-82.1432178510021
4.04999999999996,-75.974239278481
4.05999999999996,-70.1022524473103
4.06999999999996,-64.5134989185307
4.07999999999996,-59.1949575318171
4.08999999999996,-54.134393452655
4.09999999999996,-49.3203618170996
4.10999999999996,-44.7421818782524
4.11999999999996,-40.389893290583
4.12999999999996,-36.2542022103865
4.13999999999996,-32.3264227103027
4.14999999999996,-28.5984170684448
4.15999999999996,-25.0625373261074
4.16999999999996,-21.7115696267037
4.17999999999996,-18.5386822106261
4.18999999999996,-15.5373775663088
4.19999999999995,-12.701448900709
4.20999999999995,-10.0249409393468
4.21999999999995,-7.50211490749958
4.22999999999995,-5.12741748405069
4.23999999999995,-2.89545345925067
4.24999999999995,-0.800961808071306
4.25999999999995,1.16120511952609
4.26999999999995,2.99609958996831
4.27999999999995,4.70869394495686
4.28999999999995,6.30389400637973
4.29999999999995,7.78654966550658
4.30999999999995,9.16146472949789
4.31999999999995,10.4334053113994
4.32999999999995,11.6071057762402
4.33999999999995,12.6872742988205
4.34999999999995,13.6785973696658
4.35999999999995,14.5857434233455
4.36999999999995,15.4133657562688
4.37999999999995,16.1661048659836
4.38999999999995,16.8485903280404
4.39999999999995,17.4654422977419
4.40999999999995,18.0212727078442
4.41999999999995,18.5206862347527
4.42999999999995,18.9682811041379
4.43999999999995,19.36864978799
4.44999999999995,19.726379635816
4.45999999999995,20.0460534741414
4.46999999999995,20.3322502132301
4.47999999999995,20.589545490806
4.48999999999995,20.8225123769198
4.49999999999995,21.0357221569023
4.50999999999995,21.2337452121578
4.51999999999995,21.4211520164336
4.52999999999995,21.6025142632178
4.53999999999995,21.7824061364271
4.54999999999995,21.9654057374382
4.55999999999995,22.1560966836067
4.56999999999995,22.3590698938382
4.57999999999995,22.5789255779342
4.58999999999995,22.8202754458288
4.59999999999995,23.0877451598534
4.60999999999995,23.3859770519215
4.61999999999995,23.7196331366328
4.62999999999995,24.0933984467594
4.63999999999995,24.5119847327899
4.64999999999995,24.9801345614909
4.65999999999995,25.5026258665429
4.66999999999994,26.0842769985664
4.67999999999994,26.7299523371747
4.68999999999994,27.4445685269838
4.69999999999994,28.2331014134693
4.70999999999994,29.1005937534594
4.71999999999994,30.0521637885699
4.72999999999994,31.0930147693722
4.73999999999994,32.2284455258258
4.74999999999994,33.4638621812334
4.75999999999994,34.8047911050087
4.76999999999994,36.256893194583
4.77999999999994,37.8259795686614
4.78999999999994,39.5180287271123
4.79999999999994,41.3392052112659
4.80999999999994,43.2958797389973
4.81999999999994,45.3946507286038
4.82999999999994,47.6423670167039
4.83999999999994,50.0461514390191
4.84999999999994,52.6134247395665
4.85999999999994,55.351928946926
4.86999999999994,58.2697517424477
4.87999999999994,61.3753362524184
4.88999999999994,64.6775043039542
4.89999999999994,68.1854550711266
4.90999999999994,71.9087549162857
4.91999999999994,75.8573076618924
4.92999999999994,80.0412957597384
4.93999999999994,84.4710810251708
4.94999999999994,89.15704947185
4.95999999999994,94.1093790233781
4.96999999999994,99.3377027300314
4.97999999999994,104.850631110381
4.98999999999994,110.655087357491
4.99999999999994,116.755396815556
5.00999999999994,123.152059492689
5.01999999999994,129.84012251616
5.02999999999994,136.80706291949
5.03999999999994,144.030096982577
5.04999999999994,151.472862507981
5.05999999999994,159.081492762707
5.06999999999994,166.780233091195
5.07999999999994,174.467013227594
5.08999999999994,182.009614522056
5.09999999999994,189.243636589359
5.10999999999994,195.973676672069
5.11999999999994,201.979377813503
5.12999999999994,207.02757454443
5.13999999999993,210.89060374248
5.14999999999993,213.368927066602
5.15999999999993,214.31409371965
5.16999999999993,213.646789345022
5.17999999999993,211.365255162416
5.18999999999993,207.541878974879
5.19999999999993,202.309240691052
5.20999999999993,195.839712064118
5.21999999999993,188.323701050199
5.22999999999993,179.950757485479
5.23999999999993,170.895872018973
5.24999999999993,161.311416977515
5.25999999999993,151.323910011204
5.26999999999993,141.034242144001
5.27999999999993,130.520009886523
5.28999999999993,119.838862692093
5.29999999999993,109.032119152558
5.30999999999993,98.1282070826172
5.31999999999993,87.145705035685
5.32999999999993,76.0959069696445
5.33999999999993,64.984914819412
5.34999999999993,53.8153049717609
5.35999999999993,42.587430472163
5.36999999999993,31.3004195224735
5.37999999999993,19.9529323523883
5.38999999999993,8.5437170318492
5.39999999999993,-2.92799072407091
5.40999999999993,-14.4621953567058
5.41999999999993,-26.0579724462225
5.42999999999993,-37.7133844903589
5.43999999999993,-49.4254674543438
5.44999999999993,-61.1902774065213
5.45999999999993,-73.0029889426497
5.46999999999993,-84.858038863676
5.47999999999993,-96.7493097089935
5.48999999999993,-108.670348508626
5.49999999999993,-120.614616511242
5.50999999999993,-132.575765802178
5.51999999999993,-144.547938662327
5.52999999999993,-156.526085278098
5.53999999999993,-168.506294982672
5.54999999999993,-180.486135552931
5.55999999999993,-192.464994130464
5.56999999999993,-204.44441192838
5.57999999999993,-216.428402814274
5.58999999999993,-228.42374277536
5.59999999999993,-240.440212672184
5.60999999999992,-252.490769826063
5.61999999999992,-264.591613807552
5.62999999999992,-276.762096802374
5.63999999999992,-289.02440707109
5.64999999999992,-301.402922600044
5.65999999999992,-313.923087730842
5.66999999999992,-326.609604793714
5.67999999999992,-339.483650874246
5.68999999999992,-352.558745142311
5.69999999999992,-365.834752575108
5.70999999999992,-379.289490567945
5.71999999999992,-392.86737635039
5.72999999999992,-406.464871365926
5.73999999999992,-419.913246060885
5.74999999999992,-432.96079563355
5.75999999999992,-445.259285489375
5.76999999999992,-456.362763084436
5.77999999999992,-465.749356456233
5.78999999999992,-472.874775188863
5.79999999999992,-477.256664688056
5.80999999999992,-478.571733407071
5.81999999999992,-476.732322156717
5.82999999999992,-471.909703177955
5.83999999999992,-464.493246732291
5.84999999999992,-455.00423483467
5.85999999999992,-443.999447186241
5.86999999999992,-431.994506063966
5.87999999999992,-419.419744063368
5.88999999999992,-406.605878355791
5.89999999999992,-393.789561112308
5.90999999999992,-381.128672382431
5.91999999999992,-368.720193173219
5.92999999999992,-356.616729264545
5.93999999999992,-344.840117285826
5.94999999999992,-333.391850723376
5.95999999999992,-322.260711738352
5.96999999999992,-311.428160444726
5.97999999999992,-300.872033343215
5.98999999999992,-290.569012058444
5.99999999999992,-280.496220369573
6.00999999999992,-270.632214535841
6.01999999999992,-260.957557244027
6.02999999999992,-251.455110131066
6.03999999999992,-242.110136637251
6.04999999999992,-232.910282443383
6.05999999999992,-223.845475168242
6.06999999999992,-214.907775157115
6.07999999999991,-206.091197074685
6.08999999999991,-197.391516883868
6.09999999999991,-188.806073379772
6.10999999999991,-180.33357092218
6.11999999999991,-171.973887694793
6.12999999999991,-163.72789240432
6.13999999999991,-155.59727144179
6.14999999999991,-147.584367675099
6.15999999999991,-139.692031706831
6.16999999999991,-131.923485924143
6.17999999999991,-124.282201505397
6.18999999999991,-116.771788263348
6.19999999999991,-109.395897085676
6.20999999999991,-102.158134583336
6.21999999999991,-95.0619894591058
6.22999999999991,-88.1107700307721
6.23999999999991,-81.3075522714086
6.24999999999991,-74.6551376909074
6.25999999999991,-68.1560203398194
6.26999999999991,-61.8123622023771
6.27999999999991,-55.6259762292742
6.28999999999991,-49.5983162641983
6.29999999999991,-43.730473123592
6.30999999999991,-38.0231761056702
6.31999999999991,-32.476799227349
6.32999999999991,-27.0913715149218
6.33999999999991,-21.8665907078529
6.34999999999991,-16.8018397706289
6.35999999999991,-11.8962056471819
6.36999999999991,-7.14849973489586
6.37999999999991,-2.55727959743672
6.38999999999991,1.8791285215935
6.39999999999991,6.16260677643355
6.40999999999991,10.2952227393174
6.41999999999991,14.2792067614817
6.42999999999991,18.1169294465358
6.43999999999991,21.8108804357686
6.44999999999991,25.3636481147269
