"Plot6"
"Time (sec)","Linear Velocity1 (mm/sec)","Linear Velocity3 (mm/sec)","Linear Velocity4 (mm/sec)"
3.83999999999996,3.57350046394078e-12,3523.26775698482,3537.20869731202
3.84999999999996,3.58240891695109e-12,3390.57046234706,3577.22913103872
3.85999999999996,3.59139294992401e-12,3249.47086427274,3600.73802708935
3.86999999999996,3.60044529847381e-12,3102.89274108045,3608.98610601958
3.87999999999996,3.60955691397172e-12,2953.73488879033,3603.79701867039
3.88999999999996,3.61871824781279e-12,2804.58958362803,3587.2642553871
3.89999999999996,3.62792023715676e-12,2657.57981502255,3561.49265881016
3.90999999999996,3.63715490023816e-12,2514.3090220314,3528.42072466892
3.91999999999996,3.64641558369241e-12,2375.89133366258,3489.72535450806
3.92999999999996,3.65569696499338e-12,2243.02555568019,3446.79124143457
3.93999999999996,3.66499491597452e-12,2116.08368315042,3400.72188904559
3.94999999999996,3.67430630840973e-12,1995.19572347988,3352.37243339204
3.95999999999996,3.68362881260991e-12,1880.3219719134,3302.39041634564
3.96999999999996,3.69296071511782e-12,1771.31029155331,3251.25633673215
3.97999999999996,3.70230076638083e-12,1667.93900771505,3199.31984386335
3.98999999999996,3.71164805898317e-12,1569.94788436914,3146.83016364808
3.99999999999996,3.72100193367099e-12,1477.05962514676,3093.96065803455
4.00999999999996,3.73036190833919e-12,1388.99430476459,3040.82815307322
4.01999999999996,3.73972762525557e-12,1305.4786607887,2987.5078779916
4.02999999999996,3.7490988123158e-12,1226.25175150323,2934.04486997742
4.03999999999996,3.75847525488542e-12,1151.06810119438,2880.46260297084
4.04999999999996,3.76785677552306e-12,1079.69914671422,2826.76947230964
4.05999999999996,3.77724321952692e-12,1011.9335575153,2772.96363718147
4.06999999999996,3.78663444473146e-12,947.576848489361,2719.03662480586
4.07999999999996,3.79603031443399e-12,886.45054272075,2664.97598893952
4.08999999999996,3.80543069258451e-12,828.391091388324,2610.7672606155
4.09999999999996,3.81483544062526e-12,773.248669855882,2556.39536464496
